,trial_id,num_layers,num_hidden_units,batchsize,boundary_batchsize,weight_change,lr_decay,alpha,patience,epochs,lr,activation,final_boundary_loss,final_pinn_loss
0,64,8,77,256,128,1.3652701791168482,0.8202451215110651,0.4051229329462456,4,400,0.03,selu,811.8224649429321,0.0
0,65,9,169,1032,64,1.4752801390902919,0.9256067717530158,0.49241333018006916,3,400,0.03,selu,204.09962463378906,0.0
0,66,6,250,256,64,1.2197922278210866,0.8123311462340542,0.34545815998243135,2,400,0.03,selu,806.5702018737793,0.0
0,67,5,60,512,256,1.2779134975349735,0.871518051420691,0.4917747216350222,2,400,0.03,selu,0.48509813100099564,0.14779647416435182
0,68,9,207,512,128,1.4958726281245247,0.9988789125432774,0.40378661960864937,3,400,0.03,selu,417.52906227111816,0.0
0,69,6,278,256,128,1.045533473732401,0.9547226820967247,0.4168354190257114,4,400,0.03,selu,806.1711587905884,0.0
0,70,9,99,2048,128,1.2246602992538174,0.8958706951610191,0.20860508362197258,2,400,0.03,selu,100.6628828048706,0.0
0,71,7,286,2048,256,1.0240973871266847,0.9506420777573639,0.326910405383833,4,400,0.03,selu,103.87815380096436,0.0
0,72,5,56,2048,64,1.4791125522189477,0.880059738520937,0.4947180984553007,4,400,0.03,selu,0.16997148841619492,0.023948025656864047
0,73,5,279,2048,256,1.3177549483306865,0.9311919194257313,0.2544581752163152,2,400,0.03,selu,101.5424165725708,0.0
0,74,4,101,512,128,1.34519772793695,0.9797305479796317,0.4772348782821033,4,400,0.03,selu,4.271365515887737,0.013904366358474363
0,75,4,268,2048,256,1.3391663719791707,0.9658864793333288,0.30427704497294317,2,400,0.03,selu,0.616355374455452,0.13401343394070864
0,76,5,104,512,512,1.410473919049028,0.9244718634424476,0.4552550297590371,3,400,0.03,selu,408.34140968322754,0.0
0,77,8,194,256,512,1.005350044848062,0.8389879740964702,0.30235391833110425,3,400,0.03,selu,806.4743070602417,0.0
0,78,7,272,2048,512,1.352985168145089,0.8606100211833461,0.3036791929237089,2,400,0.03,selu,102.08535575866699,0.0
0,79,5,65,1032,512,1.2493736162301294,0.9089766012765927,0.4061148358133513,2,400,0.03,selu,0.20095116831362247,0.06473809410817921
0,80,4,287,1032,64,1.0134801428170284,0.9514766814052005,0.18293809590639026,2,400,0.03,selu,193.53323459625244,0.0
0,81,6,184,512,128,1.120323649169544,0.8911215960908053,0.12724103300882464,3,400,0.03,selu,409.9360599517822,0.0
0,82,9,195,2048,512,1.027909782046713,0.997227774415807,0.43413149039187815,4,400,0.03,selu,104.1270523071289,0.0
0,83,4,232,256,64,1.1787857033450608,0.9239828439752832,0.37301174508871016,4,400,0.03,selu,823.2368564605713,0.0
0,84,3,123,2048,256,1.2897487885014196,0.872640025950513,0.3947536586596525,2,400,0.03,selu,0.18076859414577484,0.03611081535927951
0,85,5,138,256,128,1.4752497211378501,0.8710776471359781,0.33197862077748985,2,400,0.03,selu,813.321928024292,0.0
0,86,8,26,256,64,1.013949055434525,0.9884515066459418,0.20204355890461861,4,400,0.03,selu,10.204375725239515,0.18833365745376796
0,87,2,10,512,256,1.238320920236442,0.9133750260380884,0.16281677871632205,3,400,0.03,selu,0.2775443512946367,0.09150586789473891
0,88,6,78,1032,256,1.4753152436070232,0.8261134874769713,0.35568870569738376,4,400,0.03,selu,203.43260765075684,0.0
0,89,2,102,256,128,1.4610842949662866,0.9860476546074157,0.42481524386173075,2,400,0.03,selu,9.259009750559926,0.05268484488260583
0,90,6,110,512,128,1.0715893513206602,0.8669050038558699,0.1631755658549098,2,400,0.03,selu,407.79782009124756,0.0
